ID,TargetF1,TargetRAUC
ID_TS_NEW_SBZAYD5I,1,0.9824831775580621
ID_TS_NEW_7SPRN3PB,1,0.9894060140063623
ID_TS_NEW_LZOWPHLC,1,0.8793360673107162
ID_TS_NEW_DN6TUF64,1,0.9315618287269825
ID_TS_NEW_95N82M49,0,0.0014560664602073735
ID_TS_NEW_BFEAVD50,0,0.002768920947855961
ID_TS_NEW_D1E33N0Z,1,0.9818001965851724
ID_TS_NEW_C85XZKDC,0,0.013558814466710561
ID_TS_NEW_1Y90ZQUH,1,0.6252179288593591
ID_TS_NEW_MZJ5GJYB,1,0.69369984783412
ID_TS_NEW_IUD9BRKX,1,0.9954620669300144
ID_TS_NEW_72QFA5EU,1,0.8040007683960745
ID_TS_NEW_47DGP36L,1,0.9881083633630361
ID_TS_NEW_HXTFGEV3,0,0.0825261767031174
ID_TS_NEW_VMPCF9WN,1,0.9451071271434073
ID_TS_NEW_NVPXE0VA,0,0.0006718102293954172
ID_TS_NEW_8LL4PIL8,1,0.8451037855374564
ID_TS_NEW_HMDZLJIE,0,0.010105638091673743
ID_TS_NEW_PMX7SKJQ,1,0.833166924243317
ID_TS_NEW_MO6E00DO,0,0.30280707010305985
ID_TS_NEW_2VZE6WN7,0,0.012318593503187647
ID_TS_NEW_SRGNZQZD,1,0.8336154122512295
ID_TS_NEW_1G52IQA5,1,0.9721258118803584
ID_TS_NEW_UGOK73FG,0,0.006078607021308777
ID_TS_NEW_T2466L38,1,0.6800922948620982
ID_TS_NEW_R0Q38OA8,0,0.3574700445648383
ID_TS_NEW_DDBN6OEU,1,0.9584793162438541
ID_TS_NEW_O0U4YHI1,1,0.923428336492884
ID_TS_NEW_I3F4EPVP,0,0.0032449118580374983
ID_TS_NEW_31NYZBQP,0,0.00251930764730559
ID_TS_NEW_MFEBBK67,1,0.955949394510984
ID_TS_NEW_UX1S7FH5,0,0.0034482983688426654
ID_TS_NEW_1Q223ITD,1,0.9850652965440899
ID_TS_NEW_49RPQPQX,1,0.9641830392020834
ID_TS_NEW_5CI9XZZC,0,0.007371361625118225
ID_TS_NEW_KW7F7YT4,0,0.0017491539174010415
ID_TS_NEW_JRDA0BSJ,1,0.9709365790673089
ID_TS_NEW_1GH47ZMP,0,0.43616368159558067
ID_TS_NEW_SIR5I0GB,0,0.0020458808789266536
ID_TS_NEW_LF40N8CH,1,0.9964675740577469
ID_TS_NEW_BRIJYAHA,0,0.007845145728869685
ID_TS_NEW_LP0Z54YQ,1,0.9761062818076649
ID_TS_NEW_41FI7XCM,1,0.9864981113323739
ID_TS_NEW_APBNYDXR,1,0.9779037102951981
ID_TS_NEW_WZG3T1DJ,1,0.9916706536157646
ID_TS_NEW_YJ8V1JMK,1,0.9888455144683714
ID_TS_NEW_V0T94C5D,1,0.9864878623719774
ID_TS_NEW_0G2STM32,1,0.8085008866894755
ID_TS_NEW_1MX99FFB,1,0.5293927110227771
ID_TS_NEW_FQGEDJEM,0,0.0073185535580719855
ID_TS_NEW_VS67WH7B,0,0.0030415757574999264
ID_TS_NEW_833N4NO5,0,0.15109924809844075
ID_TS_NEW_5554YU3O,1,0.9893433897665183
ID_TS_NEW_25CF5N3E,0,0.0027355759795185445
ID_TS_NEW_WPDJSTG0,1,0.6598272317878747
ID_TS_NEW_DGHY5358,1,0.9841378367013189
ID_TS_NEW_HKVL4CSD,1,0.9675893257777054
ID_TS_NEW_E8HFUOKY,1,0.8416322314704279
ID_TS_NEW_7EP92VXI,0,0.08514520435488518
ID_TS_NEW_KK65JUGM,0,0.003059515206737597
ID_TS_NEW_BVIUX9FH,1,0.9576382683065006
ID_TS_NEW_3E95I4NZ,0,0.00023277400465157848
ID_TS_NEW_G76POS4W,1,0.9911545810354803
ID_TS_NEW_EVGCEMI6,0,0.39941491437188353
ID_TS_NEW_02SGGVQX,1,0.9462755495581517
ID_TS_NEW_ANRFV6OD,1,0.7253338156315994
ID_TS_NEW_USFCKEAD,1,0.6963091719118901
ID_TS_NEW_VM7G3X94,1,0.8826420386651458
ID_TS_NEW_J9NW1M6J,1,0.67976914590051
ID_TS_NEW_FDXMYNN9,1,0.9002158607039734
ID_TS_NEW_HUI71UZW,0,0.004865828573410732
ID_TS_NEW_1E1L3F3M,0,0.2105341349800738
ID_TS_NEW_657RGOA6,1,0.6373433149425932
ID_TS_NEW_MCIWQNMI,1,0.9843322123489265
ID_TS_NEW_91WVZG2W,0,0.0034549767273031307
ID_TS_NEW_BJ7S4I1C,1,0.634331854470408
ID_TS_NEW_PN1MGEY3,1,0.8558351034726474
ID_TS_NEW_NSBFB3EX,0,0.001348528059548252
ID_TS_NEW_4EMFUS6S,1,0.9891348922875078
ID_TS_NEW_365NWLEN,0,0.003596566750226307
ID_TS_NEW_S31BFP0C,1,0.6792436957333542
ID_TS_NEW_TXQLECUZ,0,0.008754863914841761
ID_TS_NEW_EGUYSWOR,0,0.004128230980051294
ID_TS_NEW_NY46P5AJ,0,0.002223340381120115
ID_TS_NEW_5NQZ6IM6,0,0.013263620473102514
ID_TS_NEW_0Y4B5NVC,0,0.005415922812264349
ID_TS_NEW_KFYH9796,0,0.002481503409016541
ID_TS_NEW_XWNMFK80,0,0.0009014583654129981
ID_TS_NEW_YH3UPMDC,1,0.963988286732294
ID_TS_NEW_RW3MXYQH,1,0.9953952565402704
ID_TS_NEW_91R6IB7E,1,0.9020519873640043
ID_TS_NEW_XGRBPFZK,0,0.019745299777442576
ID_TS_NEW_O5PQ5IUU,0,0.005997121703451023
ID_TS_NEW_08SRYYM6,0,0.4751201380403823
ID_TS_NEW_QJ0YH92G,0,0.019926434607691054
ID_TS_NEW_VVHUJ6MJ,0,0.00012452664808005427
ID_TS_NEW_ME49YMX5,0,0.0015450278928410969
ID_TS_NEW_E3JMQJPR,1,0.9702410229057377
ID_TS_NEW_HS9LREPN,0,0.13061003463732798
ID_TS_NEW_D1X8JYSS,1,0.9894796161757405
ID_TS_NEW_BY6YM2RU,0,0.0011935551611453614
ID_TS_NEW_IQZOZ5N1,1,0.747641754573048
ID_TS_NEW_KVPM2TBR,0,0.36249472429823876
ID_TS_NEW_ZLBVEY3T,1,0.9694297634622607
ID_TS_NEW_1Q1GIV3O,1,0.9454769639421101
ID_TS_NEW_V5HPRNCP,1,0.7562707633661683
ID_TS_NEW_V4Q5AQIE,1,0.9801830674453106
ID_TS_NEW_A27OEJZD,0,0.023524567214897336
ID_TS_NEW_IC2S6URH,0,0.2856172112535396
ID_TS_NEW_U76GTV2S,1,0.987418085999619
ID_TS_NEW_ZYGZAKBM,0,0.47361397263404637
ID_TS_NEW_L0FXG04Z,1,0.8002424273151131
ID_TS_NEW_2HUGKCYS,1,0.9581536990457405
ID_TS_NEW_LOS601FR,1,0.9176350543011955
ID_TS_NEW_SCRYJ20E,1,0.9968094778359056
ID_TS_NEW_2QQGF6DK,1,0.9973242642711729
ID_TS_NEW_I394NPY1,1,0.9474690777173346
ID_TS_NEW_DRR5RI5M,0,0.001246426865634432
ID_TS_NEW_S49DLN5E,0,0.31078125916182536
ID_TS_NEW_2BY0U2SX,0,0.0069854968959063525
ID_TS_NEW_747ISX6G,0,0.167672483994052
ID_TS_NEW_O3DKNS93,1,0.8384630322247426
ID_TS_NEW_2DJVFG2T,1,0.9492897982462204
ID_TS_NEW_Z8J9NRN4,0,0.010000505557862499
