iter	Logloss
0	0.6713059506
1	0.6499105596
2	0.6303019216
3	0.612092576
4	0.589250546
5	0.5677865376
6	0.549598405
7	0.5335090571
8	0.5154305804
9	0.5008196504
10	0.4833218089
11	0.4682772184
12	0.455138413
13	0.4402216348
14	0.4260497889
15	0.4124991328
16	0.4020957385
17	0.3921474872
18	0.379862753
19	0.3678740655
20	0.3581752321
21	0.3484924693
22	0.3375281384
23	0.328204915
24	0.3201656135
25	0.311228322
26	0.3035302804
27	0.2965159711
28	0.2896498435
29	0.2816182935
30	0.2730809067
31	0.2651925738
32	0.2574286716
33	0.2511249666
34	0.2453286212
35	0.2388815651
36	0.2329197334
37	0.2277642821
38	0.2230603783
39	0.2179764125
40	0.2134651849
41	0.2084930547
42	0.2044452473
43	0.1997116655
44	0.1950410144
45	0.1914091861
46	0.187790801
47	0.1841176671
48	0.1804402573
49	0.1769714873
50	0.1737506497
51	0.1702738749
52	0.1669803009
53	0.1640569448
54	0.1613940761
55	0.1582381026
56	0.1555699222
57	0.1526046932
58	0.1495485249
59	0.1467155729
60	0.1438085791
61	0.1405900788
62	0.1378717182
63	0.1354052904
64	0.1331462253
65	0.1313140998
66	0.1285140033
67	0.1260523233
68	0.124641894
69	0.1222398784
70	0.1199788513
71	0.1184943103
72	0.1169233609
73	0.1150981237
74	0.1132290574
75	0.1115184668
76	0.1099899015
77	0.1088391465
78	0.1071457854
79	0.1055024618
80	0.1041653092
81	0.1030952491
82	0.1018779574
83	0.1006225902
84	0.09943195073
85	0.09817758633
86	0.09662593517
87	0.09557396772
88	0.09435930349
89	0.09317843198
90	0.09237205884
91	0.09143311057
92	0.09049789569
93	0.08954441999
94	0.08849067115
95	0.08773608092
96	0.08677110143
97	0.08564451708
98	0.08458560303
99	0.08358757945
100	0.08281108274
101	0.08189244391
102	0.08115634062
103	0.08042131931
104	0.07971871024
105	0.07904989375
106	0.07831645313
107	0.07753684847
108	0.0768109507
109	0.07572296686
110	0.07506234707
111	0.07439032431
112	0.07367718619
113	0.07317076981
114	0.07265348948
115	0.07210937416
116	0.07164032848
117	0.07123098316
118	0.07069128965
119	0.07010705245
120	0.06944765133
121	0.06888040732
122	0.06822595447
123	0.06758170335
124	0.0668361928
125	0.06620369397
126	0.06564771114
127	0.06527836987
128	0.0649039147
129	0.06437822988
130	0.0636406026
131	0.06329349055
132	0.06277302109
133	0.06245945313
134	0.06206068136
135	0.0616124602
136	0.06116053392
137	0.06068838081
138	0.0602996403
139	0.05994692116
140	0.05957371923
141	0.05918764662
142	0.05875048449
143	0.05839676807
144	0.05809823384
145	0.05767625155
146	0.05736926609
147	0.05716831562
148	0.05689705616
149	0.0565143298
150	0.05624317796
151	0.05582404673
152	0.05551367995
153	0.05524598511
154	0.05480303599
155	0.05432335562
156	0.05390975856
157	0.05357724674
158	0.05332614654
159	0.05307438189
160	0.05281997958
161	0.0525550714
162	0.05225790444
163	0.05202447864
164	0.05181806
165	0.05153844463
166	0.05121698607
167	0.05104183522
168	0.05071924493
169	0.05052529659
170	0.0502643834
171	0.04998216401
172	0.04979026337
173	0.04949726488
174	0.04925280636
175	0.04889453014
176	0.04878936149
177	0.04856664162
178	0.04834964209
179	0.04808115606
180	0.04786459841
181	0.04752137908
182	0.04734646809
183	0.0471580056
184	0.04688528172
185	0.04659658549
186	0.04636324375
187	0.0461443391
188	0.04596109851
189	0.0457489374
190	0.04540284422
191	0.04516004691
192	0.04504012983
193	0.04475313121
194	0.04458374535
195	0.04435622699
196	0.04410811874
197	0.04390431157
